aX,aY,aZ,gX,gY,gZ
0.401,-0.976,0.121,-163.147,-34.180,-62.500

0.375,-0.966,0.121,-165.710,-35.095,-66.284

0.354,-0.978,0.150,-170.349,-34.668,-69.519

0.326,-1.009,0.192,-176.025,-33.997,-71.899

0.291,-1.029,0.247,-181.213,-32.043,-70.984

0.277,-1.056,0.297,-182.739,-29.358,-68.054

0.265,-1.054,0.332,-183.289,-27.649,-63.232

0.255,-1.047,0.340,-179.504,-27.161,-56.030

0.256,-1.028,0.350,-176.819,-27.039,-47.974

0.271,-1.000,0.359,-174.072,-26.550,-38.940

0.285,-0.983,0.374,-172.363,-25.879,-30.701

0.293,-0.967,0.395,-173.706,-25.024,-25.940

0.294,-0.959,0.422,-176.819,-24.719,-25.146

0.291,-0.950,0.451,-179.260,-25.757,-26.306

0.294,-0.942,0.484,-179.626,-28.076,-28.259

0.297,-0.931,0.520,-179.382,-31.006,-31.067

0.295,-0.932,0.563,-178.650,-34.973,-34.485

0.289,-0.937,0.598,-176.880,-38.696,-37.415

0.285,-0.947,0.633,-172.119,-39.551,-39.001

0.288,-0.963,0.656,-164.124,-38.635,-38.025

0.293,-0.972,0.677,-153.992,-35.645,-34.790

0.302,-0.966,0.691,-142.395,-30.701,-30.762

0.310,-0.955,0.696,-129.761,-25.696,-27.527

0.309,-0.931,0.687,-116.333,-20.813,-25.635

0.289,-0.900,0.685,-103.943,-16.296,-25.513

0.265,-0.873,0.698,-95.520,-12.817,-26.550

0.247,-0.850,0.716,-90.576,-11.414,-28.748

0.225,-0.844,0.728,-88.013,-12.024,-31.128

0.208,-0.848,0.744,-86.365,-13.184,-33.386

0.193,-0.862,0.766,-85.266,-14.221,-34.485

0.184,-0.880,0.793,-83.740,-14.709,-33.691

0.182,-0.900,0.817,-80.933,-13.672,-30.518

0.179,-0.913,0.849,-78.064,-12.024,-26.062

0.179,-0.923,0.884,-74.158,-9.766,-21.912

0.181,-0.933,0.912,-69.397,-7.935,-18.127

0.179,-0.947,0.941,-64.453,-6.531,-15.198

0.176,-0.970,0.954,-58.960,-5.310,-13.367

0.173,-0.996,0.962,-53.345,-4.517,-11.353

0.169,-1.010,0.974,-47.668,-3.418,-9.094

0.168,-1.015,0.995,-42.358,-1.465,-6.653

0.171,-1.023,1.011,-36.743,-0.549,-5.188

0.172,-1.046,1.017,-30.518,-0.671,-4.883

0.172,-1.056,1.017,-23.804,-1.465,-5.615

0.164,-1.051,1.028,-16.846,-2.197,-7.263

0.159,-1.052,1.043,-10.071,-2.869,-8.728

0.160,-1.063,1.031,-1.587,-3.235,-8.545

0.170,-1.077,1.023,7.385,-2.991,-6.897

0.175,-1.060,1.021,14.465,-1.343,-4.517

0.181,-1.053,1.029,19.653,0.916,-2.869

0.182,-1.064,1.035,23.804,4.028,-2.014

0.187,-1.077,1.047,28.076,8.728,-0.793

0.193,-1.096,1.080,33.142,13.672,1.160

0.203,-1.123,1.118,40.100,18.433,3.418

0.212,-1.158,1.141,49.194,22.888,6.104

0.212,-1.184,1.155,61.951,27.649,10.254

0.214,-1.186,1.208,73.303,34.058,14.893

0.220,-1.207,1.266,83.801,41.443,19.775

0.236,-1.256,1.303,96.741,48.706,26.062

0.246,-1.276,1.361,108.215,56.030,32.776

0.259,-1.299,1.437,118.713,64.636,38.696

0.280,-1.354,1.504,132.263,74.219,45.288

0.275,-1.426,1.558,148.376,84.961,50.110

0.261,-1.481,1.590,167.480,94.604,54.016

0.243,-1.506,1.585,195.618,101.074,55.237

0.200,-1.459,1.530,228.516,100.281,52.551

0.166,-1.374,1.452,260.620,90.820,47.180

0.163,-1.272,1.355,290.833,77.271,41.504

0.173,-1.174,1.240,318.604,60.852,34.851



0.071,2.162,-0.639,102.722,15.808,-1.038

0.067,2.231,-0.757,80.750,4.822,-18.250

0.068,2.185,-0.877,52.551,-2.869,-27.222

0.073,2.041,-0.927,17.151,-2.502,-27.100

0.088,1.840,-0.873,-23.987,6.531,-25.757

0.104,1.622,-0.752,-67.444,13.977,-22.461

0.097,1.387,-0.667,-101.929,13.367,-20.447

0.099,1.183,-0.610,-126.343,11.169,-23.193

0.110,1.008,-0.558,-143.555,8.057,-28.503

0.117,0.884,-0.544,-154.114,4.639,-35.095

0.120,0.784,-0.553,-160.034,1.343,-43.213

0.126,0.719,-0.573,-163.330,-1.526,-51.514

0.121,0.682,-0.594,-166.748,-4.272,-58.960

0.113,0.669,-0.614,-171.326,-6.409,-65.430

0.098,0.655,-0.626,-177.124,-8.545,-69.763

0.084,0.630,-0.627,-184.631,-9.949,-70.068

0.074,0.603,-0.617,-192.078,-10.864,-67.078

0.075,0.557,-0.603,-199.280,-13.062,-62.744

0.087,0.510,-0.602,-205.017,-17.273,-58.716

0.116,0.447,-0.598,-210.693,-22.522,-56.824

0.154,0.371,-0.598,-215.759,-27.161,-57.068

0.189,0.287,-0.590,-219.910,-31.555,-60.425

0.213,0.194,-0.564,-223.267,-34.729,-66.528

0.228,0.112,-0.538,-225.464,-36.316,-73.242

0.229,0.008,-0.507,-225.525,-38.696,-80.139

0.213,-0.080,-0.476,-223.389,-41.382,-87.036

0.205,-0.168,-0.448,-218.384,-43.579,-90.759

0.213,-0.231,-0.434,-212.402,-45.776,-92.407

0.228,-0.264,-0.435,-207.703,-49.072,-92.224

0.244,-0.278,-0.447,-203.918,-53.406,-92.041

0.269,-0.287,-0.459,-201.843,-58.167,-92.773

0.302,-0.300,-0.463,-202.087,-62.195,-93.811

0.325,-0.320,-0.449,-204.224,-64.575,-95.825

0.349,-0.337,-0.428,-207.397,-64.636,-99.243

0.380,-0.370,-0.404,-211.731,-63.843,-103.943

0.382,-0.440,-0.354,-217.468,-63.354,-109.253

0.374,-0.494,-0.293,-224.609,-60.425,-115.417

0.386,-0.558,-0.230,-229.797,-54.626,-119.385

0.371,-0.646,-0.164,-232.361,-49.500,-120.300

0.353,-0.724,-0.085,-232.422,-43.396,-117.493

0.361,-0.793,-0.033,-228.027,-37.659,-112.854

0.367,-0.839,-0.019,-219.421,-35.339,-108.459

0.367,-0.862,-0.025,-210.571,-38.147,-107.361

0.373,-0.878,-0.029,-203.125,-43.518,-108.521

0.371,-0.882,-0.026,-198.486,-47.424,-109.924

0.360,-0.894,-0.022,-197.388,-49.622,-111.450

0.354,-0.919,-0.010,-199.463,-49.805,-111.206

0.333,-0.968,0.033,-204.346,-45.532,-107.178

0.317,-1.030,0.114,-209.412,-36.255,-98.877

0.317,-1.073,0.180,-210.693,-26.428,-86.609

0.309,-1.110,0.216,-206.787,-18.555,-72.449

0.295,-1.135,0.242,-200.684,-13.611,-60.242

0.279,-1.133,0.261,-192.444,-11.047,-49.988

0.274,-1.119,0.255,-180.481,-10.376,-39.429

0.280,-1.095,0.234,-167.419,-10.803,-29.419

0.293,-1.050,0.215,-157.043,-12.268,-22.705

0.312,-1.047,0.216,-148.987,-15.076,-21.729

0.321,-1.023,0.218,-151.855,-18.738,-26.733

0.308,-1.011,0.220,-151.733,-24.109,-35.339

0.285,-1.002,0.223,-154.175,-29.236,-44.495

0.255,-0.998,0.234,-157.227,-33.630,-51.880

0.228,-0.988,0.251,-162.781,-36.682,-55.420

0.216,-0.975,0.275,-168.335,-37.964,-54.077

0.209,-0.974,0.302,-173.279,-38.025,-47.852

0.214,-0.970,0.336,-178.406,-37.109,-39.124

0.230,-0.964,0.375,-181.458,-34.729,-27.161

0.249,-0.963,0.430,-181.824,-30.579,-14.587

0.269,-0.956,0.481,-180.359,-26.489,-5.859

0.287,-0.966,0.524,-175.598,-23.376,-1.526

0.299,-0.981,0.564,-169.250,-22.705,-1.099

0.298,-0.990,0.591,-161.438,-23.560,-4.150

0.292,-0.990,0.609,-152.466,-24.414,-8.911

0.284,-0.989,0.621,-141.968,-24.170,-11.658

0.284,-0.982,0.632,-130.920,-22.705,-10.986

0.288,-0.965,0.639,-119.568,-20.020,-7.874

0.298,-0.943,0.651,-109.802,-17.212,-4.395

0.308,-0.926,0.671,-102.173,-14.893,-2.136

0.316,-0.915,0.696,-96.619,-13.123,-1.831

0.314,-0.916,0.721,-92.407,-12.268,-3.418

0.306,-0.935,0.745,-88.989,-13.123,-6.531

0.297,-0.965,0.769,-85.571,-13.367,-9.644

0.289,-0.995,0.792,-82.947,-12.085,-12.451

0.278,-1.025,0.816,-78.308,-10.437,-13.916

0.269,-1.044,0.844,-72.266,-8.240,-13.733

0.259,-1.058,0.853,-64.331,-6.104,-12.512

0.249,-1.067,0.851,-55.176,-4.517,-10.437

0.239,-1.064,0.852,-46.936,-2.930,-7.874

0.239,-1.059,0.848,-40.161,-2.380,-5.249

0.240,-1.057,0.833,-34.241,-2.869,-3.662

0.245,-1.050,0.819,-29.236,-3.296,-2.441

0.249,-1.041,0.810,-25.085,-2.991,-1.709

0.254,-1.035,0.795,-21.057,-3.174,-1.221

0.258,-1.025,0.788,-17.212,-3.235,-0.977

0.262,-1.016,0.784,-14.099,-2.563,-0.854

0.265,-1.013,0.779,-10.925,-2.319,-0.793

0.267,-1.007,0.776,-8.362,-2.136,-0.977

